iter	Logloss
0	0.689351609911	0.686070592
2	0.6828101292
3	0.6790731131
4	0.6758467619
5	0.6730472785
6	0.6694573016
7	0.6663380142
8	0.6629904755
9	0.6596047267
10	0.6552253912
11	0.6516137241
12	0.6485748922
13	0.6459239613
14	0.6430682978
15	0.6400468054
16	0.6371278999
17	0.6346573002
18	0.6320617297
19	0.6292766224
20	0.6269094924
21	0.6243383234
22	0.621965897
23	0.6186902385
24	0.6163931602
25	0.6136479654
26	0.6109873874
27	0.6090737965
28	0.6059296033
29	0.6030231823
30	0.60082516
31	0.5987560808
32	0.5964125956
33	0.5947175459
34	0.5919739274
35	0.5894781065
36	0.587131847
37	0.5847271375
38	0.5821217939
39	0.5804684221
40	0.578646447
41	0.5764506316
42	0.573822589
43	0.5718359198
44	0.5692006261
45	0.5670860858
46	0.5652847921
47	0.5634847594
48	0.561620665
49	0.5598883511
50	0.5584994229
51	0.5563502036
52	0.5545372451
53	0.5526756097
54	0.55026346
55	0.5486425605
56	0.5467262583
57	0.544305029
58	0.5426861471
59	0.5408552816
60	0.5389309718
61	0.537127282
62	0.5351557456
63	0.5334841515
64	0.53179402
65	0.5307062953
66	0.5291005284
67	0.5278207448
68	0.5256225649
69	0.5235287059
70	0.5220599529
71	0.5203244863
72	0.519415485
73	0.5181488794
74	0.5166628183
75	0.5151061381
76	0.5136342955
77	0.5125115134
78	0.5111096595
79	0.5102463084
80	0.5087366341
81	0.5076786073
82	0.506464241
83	0.5050284646
84	0.5034174013
85	0.5023089953
86	0.5009106407
87	0.4997240177
88	0.4982974155
89	0.4966445481
90	0.4956183631
91	0.4941181467
92	0.493083544
93	0.4919119591
94	0.4907835968
95	0.4895227921
96	0.4884937381
97	0.4877677476
98	0.4868561926
99	0.4860066816
100	0.4850945591
101	0.4841891833
102	0.4830853486
103	0.482140281
104	0.4809224468
105	0.4797246318
106	0.4788178373
107	0.4777191414
108	0.4768289298
109	0.4758896
110	0.4749105785
111	0.4739986451
112	0.4730172591
113	0.4721590152
114	0.4715733173
115	0.4709640377
116	0.4701614695
117	0.4691396666
118	0.4678285457
119	0.4669261333
120	0.4659239083
121	0.4648345128
122	0.4640082682
123	0.462888828
124	0.4619788178
125	0.4612153108
126	0.4604073201
127	0.4591910622
128	0.4582366313
129	0.4574258662
130	0.456423925
131	0.4559354861
132	0.4551025895
133	0.4542038657
134	0.4534173761
135	0.4527048789
136	0.4518278453
137	0.4510644329
138	0.4502595003
139	0.449291513
140	0.4482757631
141	0.4475193812
142	0.4464641603
143	0.4455770697
144	0.4446484905
145	0.4436599794
146	0.4428433505
147	0.4422108043
148	0.4413078245
149	0.4407488925
150	0.4400513704
151	0.4392390291
152	0.4386298755
153	0.437569232
154	0.4370449476
155	0.4364877181
156	0.4357786573
157	0.4351290238
158	0.4343981782
159	0.4334361179
160	0.432718545
161	0.432203214
162	0.4315376597
163	0.4307108792
164	0.4299718999
165	0.4292586145
166	0.4285135506
167	0.4279636982
168	0.4273570983
169	0.4264684945
170	0.4258530672
171	0.4248801302
172	0.4242055593
173	0.4236558331
174	0.4230752109
175	0.422550296
176	0.4216961191
177	0.421013572
